No,Tanggal Iklan,URL,Harga_Juta,Kota,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
50,04-03-2021,https://www.rumah123.com/properti/semarang/hos8116845/,1800,Semarang,120,96,3,2,0,0,2,0,2200,SHM,RUMAH BARU MINIMALIS DI CLUSTER KEDATON BSB CITY,"RUMAH BSB KEDATON
  CLUSTER AREAL BSBCITY
  POSISI HOOK
  DI DEPAN TAMAN PERUMAHAN
  DOUBLE CARPOT
  TAMAN DEPAN, SAMPING DAN BELAKANG
  GARDEN
  JALAN DEPAN ROW 8M
  AIR BERSIH SISTEM BSBCITY
  ONE STOP LIVING
  TAMAN AKTIF, KEDATON CAFE, FITNESS CENTRE, KOLAM RENANG, ONE GATE SYSTEM, KAMERA CCTV, KEAMANAN 24 JAM"
51,04-03-2021,https://www.rumah123.com/properti/semarang/hos8115783/,875,Semarang,160,160,2,2,1,1,0,0,2200,SHM,"RUMAH TERAWAT DI PERUMAHAN GENUK INDAH, KAPAS TENGAH RAYA","RUMAH DIJUAL SEMARANG BERSIH, TERAWAT, SIAP HUNI"
52,04-03-2021,Rumah dijual 80 kamar hos8118595 | rumah123.com,485,Semarang,80,62,3,2,0,0,1,0,1300,SHM,RUMAH BAGUS INDENT DI PABELAN KARTASURA (DR),"TYPE :*DIPASARKAN*
  TYPE : RUMAH BAGUS 2 LT INDENT
  LOKASI : PABELAN , KARTOSURO, SUKOHARJO, JAWA TENGAH.
  
  SPESIFIKASI:
  
  LUAS TANAH MULAI : +- 62M2
  LUAS BANGUNAN MULAI : +-80M2
  LEBAR DEPAN : +- 7.5M
  LANTAI : 2
  KAMAR TIDUR : 3
  KAMAR MANDI : 2
  AIR : SUMUR BOR
  LISTRIK : 1300 WATT
  CARPOT : 1 MOBIL
  SERTIFIKAT : SHM ( PROSES PECAH )
  IMB : PROSES
  BANGUNAN TAHUN : 2021
  RUANG LAIN2: RUANG TAMU, RUANG KELUARGA , RUANG SANTAI, DAPUR , TERAS , TAMAN , BALKON , TEMPAT JEMUR
  HADAP : TIMUR BARAT
  AKSES JALAN: ASPAL/PAVING SIMP MOBIL 6M
  
  KETERANGAN TAMBAHAN :
  
  LOKASI AMAN NYAMAN DAN SANGAT STRATEGIS DI LINGKUNGAN PERUMAHAN DAN DI TEPI JALAN UTAMA PABELAN YANG BERKEMBANG PESAT COCOK UNTUK HUNIAN ATAU UNTUK INVESTASI JANGKA PANJANG
  
  DENGAN AKSES PENDUKUNG DEKAT MUDAH DENGAN :
  
  + 5 MENIT KE KAMPUS UMS PABELAN
  + 8 MENIT KE TRANSMART PABELAN
  + 10 MENIT KE PINTU TOL NGASEM KERTOSONO-SOLO-SEMARANG
  +15 MENIT KE BANDARA ADI SUMARMO.
  
  HARGA PERDANA : RP 485 JUTA NETT."
53,04-03-2021,"Rumah dijual 2 lantai, 8 kamar hos8118817 | rumah123.com",1650,Semarang,300,400,8,4,0,0,2,2,2200,SHM,RUMAH MEWAH PEDURUNGAN TENGAH SEMARANG,"DIJUAL CEPAT.
  RUMAH MEWAH
  PEDURUNGAN TENGAH SEMARANG
  LUAS TANAH 300
  LUAS BANGUNAN 400
  LISTRIK 2200 WATT
  AIR ARTETIS
  SHM
  8 KAMAR BESAR
  4 KAMAR MANDI
  1 RUANG TAMU BESAR
  GARASI DAN CARPORT BS 4 SD 5 MOBIL
  TERAS
  LANTAI 2
  TAMAN INDAH
  BANGUNAN MODERN DAN LANTAI 2 CLASSIC."
54,04-03-2021,https://www.rumah123.com/properti/semarang/hos8112099/,780,Semarang,150,50,2,1,0,0,0,0,1300,SHM,RUMAH BARU,NYAMAN SIAP PAKAI
55,04-02-2021,https://www.rumah123.com/properti/semarang/hos8115074/,1300,Semarang,135,102,4,2,0,0,1,0,2200,SHM,PERUM VILLA MUTIARA TEMBALANG DEPAN UNDIP SEMARANG,"DIJUAL RUMAH MEWAH DEKAT UNDIP SAMPING APPARTEMENT TEMBALANG
  
  VILLA MUTIARA TEMBALANG
  LUAS TANAH 135
  LUAS BANGUNAN 102
  
  FASILITAS:
  - 4 KAMAR TIDUR
  - 2 KAMAR MANDI
  - CARPORT
  - RUANG TAMU
  - RUANG KELUARGA
  - DAPUR
  - DAK ATAS UNTUK JEMURAN DAN TANDON AIR
  - AIR PAM
  - LISTRIK 2200
  - LINGKUNGAN EKSKLUSIF (ONE GATE SYSTEM)
  - LEBAR JALAN DEPAN RUMAH 8 METER
  LOKASI SANGAT STRATEGIS :
  - BERADA DI LINGKUNGAN KAMPUS UNDIP TEMBALANG
  - PERUMAHAN VILLA MUTIARA TEMBALANG, SEMARANG
  - BELAKANG MASJID DIPONEGORO
  - DEKAT ADA SWALAYAN BANYUMANIK, KFC BANYUMANIK, CAREFOUR BANYUMANIK
  - DEKAT SIMPANG LIMA SEMARANG
  - SEMUA FASILITAS PENUNJANG SANGAT LENGKAP
  - DEKAT BANK, RESTORAN, POM BENSIN
  
  LEGALITAS: SERTIFIKAT, IMB, PBB LENGKAP
  
  HARGA: 1,3 M
  
  SURVEY PASTI SUKA, RUMAH IDAMAN LOKASI PREMIUM
  INFO DAN SURVEY HUB"
56,04-02-2021,https://www.rumah123.com/properti/semarang/hos8111802/,825.3,Semarang,116,80,3,1,0,0,2,0,2200,SHM,RUMAH MEWAH KOTA SEMARANG DENGAN VIEW HIJAU ALAMI,"RUMAH MEWAH DENGAN LINGKUNGAN ASRI DAN NYAMAN
  SERASA VILLA DI KOTA SEMARANG
  
  HARGA TERMURAH DI KELASNYA
  KAVLING SIAP BANGUN
  LINGKUNGAN SUDAH TERBENTUK BAGUS
  
  * BANGUNAN TIPE 80
  * LUAS TANAH 116 M
  * 3 KAMAR TIDUR
  * 1 KAMAR MANDI
  * AIR ARTETIS
  * LEBAR JALAN 8 METER
  * CARPORT BISA 2 MOBIL
  
  BERADA DI SEKELILING PERUMAHAN ELIT KOTA SEMARANG
  
  - JALUR ALTERNATIF KE UNDIP TEMBALANG
  - 7 MENIT KE UNDIP TEMBALANG
  - 10 MENIT KE JAVA MALL
  - 5 MENIT KE RSUD KOTA SEMARANG
  - 5 MENIT KE UNIMUS
  - 3 MENIT KE STIKES KARYAHUSADA SEMARANG
  
  ->> HARGA 825 JUTA
  ->> SISTEM PEMBELIAN CASH DAN KPR
  
  
  INFO DAN SURVEY HUBUNGI
  TLP/WA 085225626900 ( FANDI )"
57,04-02-2021,https://www.rumah123.com/properti/semarang/hos8112206/,3500,Semarang,230,200,3,2,2,1,1,1,5500,SHM,"RUMAH BARU DI GRAHA CANDI GOLF, FASILITAS KOMPLIT","DIJUAL RUMAH BARU DI GRAHA CANDI GOLF
  LT: 230 M (10X23)
  LB: 200 M
  SHM
  HDP SLTN
  KT: 3+1+1
  KM: 2+1
  GARASI: 1
  CARPORT: 1
  5500 WATT
  4 AC, KITCHEN SET, WATER HEATER, AIR ARTETIS, CANOPY
  
  HARGA: 3,5M"
58,04-02-2021,"Rumah dijual 2 lantai, 4 kamar hos8115098 | rumah123.com",1100,Semarang,200,162,4,2,0,0,0,0,2200,SHM,RUMAH DEPAN GOR MANUNGGAL JATI MAJAPAHIT PEDURUNGAN SEMARANG|3,"DIJUAL RUMAH DI MANUNGGAL JATI PEDURUNGAN
  RUMAH LOKASI STRATEGIS DI DEPAN GOR MANUNGGAL JATI PEDURUNGAN SEMARANG TIMUR
  AKSES MUDAH JALAN LEBAR DEKAT JALAN MAJAPAHIT SEMARANG LOKASI MEWAH
  TYPE 200/162 M2
  KAMAR TIDUR 4
  KAMAR MANDI 2
  DAPUR 2
  RUANG TAMU
  RUANG MAKAN
  RUNAG KELUARGA
  KEUNGGULAN LOKASI:
  DEPAN GOR MANUNGGAL JATI
  LEBAR JALAN DEPAN 6 M
  DEKAT JALAN RAYA MANUNGGALJATI
  DEKAT TRANSMART PEDURUNGAN
  DEKAT HOTEL HORYZON
  DEKAT SWALAYAN ADA FATMAWATI
  CLUSTER SECURITY
  BEBAS BANJIR
  LEGALITAS LENGKAP
  SHM
  PBB
  IMB
  DIJUAL HARGA 1.1 M
  UNTUK INFO DAN SURVEY HUB
  
  0
  
  KODE IKLAN 3"
59,04-02-2021,"Rumah dijual 1 lantai, 3 kamar hos8115070 | rumah123.com",600,Semarang,102,72,3,2,0,0,0,0,1300,SHM,RUMAH PEDURUNGAN SEMARANG SYUHADA TLOGOSARI READY STCOK | 5,"RUMAH BARU READY STOCK DI SYUHADA PERMAI TLOGOSARI WETAN PEDURUNGAN SEMARANG
  LOKASI STRATEGIS DEKAT AHHAS JL SOEKARNO HATTA PEDURUNGAN
  RUMAH TYPE 72/102
  KAMAR TIDUR 3
  KAMAR MANDI 2
  RUANG TAMU
  DAPUR
  SISA TANAH BELAKANG
  AIR ARTETIS
  LISTRIK 1300 WATT
  LOKASI STRATEGIS
  DEKAT JALAN SOEKARNO HATTA
  DEKAT KAMPUS USM
  DEKAT PUSAT BELANJA TLOGOSARI
  DEKAT AHASS
  DEKAT KAMPUS AMNI
  DEKAT PUSAT PERBELANJAAN TLOGOSARI
  DEKAT ALFAMART DAN INDOMARET
  JALAN LEBAR 7 M
  LEGALITAS :
  SERTIFIKAT HM
  PBB
  IMB ( LENGKAP )
  HARGA 600 JT NEGO"
